,Адрес,Цена,Тип предложения,Площадь участка,Коммуникации,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Телефон,Санузел,Пол
656,"Бишкек, Политех, Сухомлинова/пр.Ч.Айтматова",$ 240 000,от агента,4 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8462,74.5893,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
657,Сокулук,$ 170 000,от агента,1000 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",есть,обмен не предлагать,42.8711,74.2836,в пригороде,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             времянка,                                             ровный,                                             все документы",нет,,,,,,,,,,,
658,"Бишкек, Льва Толстого/Кулиева",$ 2 000 000,от собственника,54 соток,"свет,                                             вода,                                             канализация",,нет,обмен не предлагать,42.866,74.5698,в городе,"хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,,,,,,,,,
659,с. Байтик,$ 48 000,от собственника,10 соток,"свет,                                             интернет",красная книга,,,42.7464,74.5511,,"огорожен,                                             госакт,                                             ровный,                                             удобный въезд",,,,,,,,,,,,
660,"Бишкек, Арча-Бешик ж/м, Шербет 39/Шералиева",$ 155 000,от собственника,9.3 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","красная книга,                                             договор купли-продажи",,,42.8296,74.5512,,"огорожен,                                             хозпостройки,                                             дом,                                             ровный,                                             все документы",,,,,,,,,,,,
661,"с. Селекционное, Кут 21",$ 57 000,от собственника,4 соток,,красная книга,,,42.8307,74.5267,,,,,,,,,,,,,,
662,"Бишкек, Ак-Орго ж/м, Садыкова/Гагарина",$ 55 000,от собственника,5 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             телефон,                                             канализация","технический паспорт,                                             красная книга",нет,,42.8527,74.5233,,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
663,с. Нижний Норус/по дороге объездной,$ 7 500,от собственника,2640 соток,,договор купли-продажи,,,42.9266,74.7657,вдоль трассы,,,,,,,,,,,,,
664,"Ош, Карасуйский район. а/а Кызыл-Кыштак, уч. Коммунист. (ориентир поворот в с. Керме-Тоо",$ 50 000,от собственника,6 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",есть,,40.5447,72.7415,в пригороде,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
665,с. Октябрьское (Аламудунский р-н),$ 850 000,от собственника,1600 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,,43.1317,74.4943,,,нет,не достроено,,,,,,,,,,
666,с. Оргочор,$ 17 288,от собственника,400 соток,,договор купли-продажи,,,42.3919,77.9981,,,,,,,,,,,,,,
667,"с. Военно-Антоновка, красноармейская 57/Пионерская",$ 42 000,от агента,7 соток,"свет,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",есть,рассмотрю варианты,42.8774,74.4533,в пригороде,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             дом,                                             все документы",есть,,,,,,,,,,,
668,"Кара-Балта, Тынчтык 25/Наристе",$ 9 000,от собственника,6 соток,"свет,                                             телефон,                                             канализация",красная книга,нет,рассмотрю варианты,42.8074,73.8227,в городе,"ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
669,"Бишкек, с. Чон-Арык, Кожобергенова 28",$ 120 000,от собственника,11 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация",,есть,рассмотрю варианты,42.7929,74.5754,,"хозпостройки,                                             дом,                                             времянка,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
670,"Бишкек, Горького - Панфилова, Лев Толстой 32/Панфилова",$ 200 000,от собственника,7.7 соток,,,,с доплатой покупателя,42.8616,74.6015,,,,,,,,,,,,,,
671,"Бишкек, Рухий Мурас ж/м, 8 258/18",$ 35 000,от собственника,4 соток,"свет,                                             вода",,,рассмотрю варианты,42.8568,74.7058,в городе,фундамент,,,,,,,,,,,,
672,"Бишкек, 12",$ 28 000,от собственника,4 соток,,,,,42.8566,74.7038,,,,,,,,,,,,,,
673,"Балыкчи, Восточная 8",$ 400 000,от собственника,410 соток,"свет,                                             вода,                                             канализация",,есть,рассмотрю варианты,42.465,76.2326,в городе,"фундамент,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы,                                             возможна аренда",есть,,,,,,,,,,,
674,"Бишкек, ак ордо 3 12/1",$ 69 000,от собственника,8 соток,,,,,42.8231,74.4814,в городе,,,,,,,,,,,,,
675,"с. Беш-Кунгей, Проектируемая",$ 160 000,от собственника,20 соток,"свет,                                             вода",красная книга,,с доплатой покупателя,42.7672,74.6527,в предгорьях,все документы,,,,,,,,,,,,
676,"с. Арчалы, асанкул уулу кунтуу 46",$ 40 000,от собственника,15 соток,"свет,                                             вода",,есть,рассмотрю варианты,42.729,74.5159,в пригороде,,,,,,,,,,,,,
677,Бишкек,$ 30 000,от собственника,4 соток,,красная книга,нет,,42.8445,74.6954,,,нет,,,,,,,,,,,
678,"Бишкек, Аламединский рынок",$ 47 000,от собственника,4.5 соток,"свет,                                             газ,                                             вода",,,,42.8891,74.6331,,"фундамент,                                             хозпостройки,                                             огорожен,                                             дом,                                             все документы",,,,,,,,,,,,
679,"с. Беш-Кунгей, Таранчиева 80",$ 48 000,от собственника,10 соток,"свет,                                             вода",красная книга,нет,обмен не предлагать,42.7754,74.6466,вдоль трассы,,нет,,,,,,,,,,,
680,"Бишкек, Кок-Жар ж/м,  ул. Молдокулова, ориентир 1/6/ул. Куланак",$ 52 000,от собственника,4 соток,,,,,42.8335,74.642,в городе,,,,,,,,,,,,,
681,"Бишкек, ж/м Ала-Арча 2, 11 улица",$ 83 000,от собственника,6 соток,"свет,                                             интернет,                                             вода",,,,42.8132,74.562,,,,,,,,,,,,,,
682,"с. Новопокровка, Жибек жолу 4/Чынгыз Айтматов",$ 18 000,от собственника,4 соток,"свет,                                             вода","красная книга,                                             технический паспорт",,обмен не предлагать,42.8755,74.7841,вдоль трассы,"фундамент,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
683,"Бишкек, Пишпек ж/м, Терметчикова",$ 95 000,от собственника,6 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация","технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",,,42.8593,74.5518,,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
684,"Каракол, Фрунзенская",$ 280 000,от собственника,110 соток,"свет,                                             вода",,,,42.5003,78.4087,,"хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
685,"Бишкек, Кок-Жар ж/м",$ 260 000,от агента,20 соток,,,,,42.8434,74.6432,,,,,,,,,,,,,,
686,"Бишкек, Рухий Мурас ж/м",$ 28 000,от собственника,4 соток,,,,,42.8565,74.7056,,,,,,,,,,,,,,
687,"Бишкек, Чуй - Алматинка",$ 450 000,от собственника,16 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",,рассмотрю варианты,42.8799,74.6286,в городе,"хозпостройки,                                             огорожен,                                             госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
688,"Бишкек, Карпинка, Суюмбаева 190/Жибек-Жолу",$ 420 000,от собственника,8 соток,,"договор купли-продажи,                                             красная книга",,,42.8843,74.6225,,,,,,,,,,,,,,
689,"Бишкек, Кызыл-Аскер ж/м, Новгородская 10",$ 35 000,от собственника,8 соток,"свет,                                             газ,                                             вода,                                             канализация","красная книга,                                             технический паспорт",,рассмотрю варианты,42.8663,74.5038,в городе,"фундамент,                                             хозпостройки,                                             огорожен,                                             времянка,                                             ровный,                                             все документы",,,,,,,,,,,,
690,с. Кой-Таш,$ 78 000,от агента,15 соток,,,,,42.7149,74.6661,,,,,,,,,,,,,,
691,с. Кок-Джар,$ 75 000,от агента,7 соток,"свет,                                             газ,                                             вода",красная книга,,,42.8253,74.6418,,,,,,,,,,,,,,
692,"Лебединовка, Салиева 87/Чкалова",$ 250 000,от собственника,11 соток,,договор купли-продажи,,,42.8828,74.6718,вдоль трассы,,,,,,,,,,,,,
693,"Каракол, Кузбасская",$ 12 000,от собственника,4500 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.5051,78.3666,в городе,"фундамент,                                             все документы",,,,,,,,,,,,
694,"с. Военно-Антоновка, Проектируемая",$ 19 999,от собственника,4 соток,свет,красная книга,,,42.8658,74.4417,,,,,,,,,,,,,,
695,с. Бает,$ 10 000,от собственника,5 соток,,красная книга,есть,обмен не предлагать,42.6186,76.9828,вдоль трассы,,есть,,,,,,,,,,,
696,"с. Беш-Кунгей, Проектируемая 35",$ 100 000,от собственника,15 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.7822,74.6583,,"огорожен,                                             госакт,                                             все документы",,,,,,,,,,,,
697,"Бишкек, Западный автовокзал, Кулиева/Жибек-Жолу",$ 125 000,от собственника,6 соток,канализация,,нет,,42.8827,74.5692,в городе,,нет,,,,центральная,центральное водоснабжение,есть,нет,пустая,нет,нет,дерево
698,с. Беш-Кунгей,$ 110 000,от собственника,15 соток,,,,,42.7681,74.6464,,,,,,,,,,,,,,
699,"Бишкек, Ак-Бата ж/м, 16 улица 16",$ 25 000,от собственника,6 соток,"свет,                                             газ,                                             вода,                                             канализация,                                             телефон",красная книга,,,42.961,74.6137,в городе,все документы,,,,,,,,,,,,
700,с. Сары-Ой,$ 90 000,от собственника,136 соток,"свет,                                             вода",красная книга,,рассмотрю варианты,42.6137,76.9638,вдоль трассы,удобный въезд,,,,,,,,,,,,
701,с. Военно-Антоновка,$ 850 000,от собственника,250 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.857,74.4315,в пригороде,,,,,,,,,,,,,
702,"Бишкек, Таатан, Саратовская/Веселая",$ 220 000,от собственника,11.28 соток,,"договор дарения,                                             технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",,обмен не предлагать,42.8817,74.6489,в городе,,,,,,,,,,,,,
703,"Бишкек, Сквер Тоголок Молдо, Линейная Логвиненко",$ 100 000,от собственника,2.75 соток,,"технический паспорт,                                             красная книга",,обмен не предлагать,42.8646,74.5962,,,,,,,,,,,,,,
704,"с. Кой-Таш, Западная 48",$ 50 000,от собственника,10 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,ключ на ключ,42.7143,74.6625,,"фундамент,                                             огорожен,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
705,"Балыкчи, Алиева нет/интер",$ 20 000,от собственника,5500 соток,"вода,                                             канализация",красная книга,,,42.4638,76.1724,в городе,"ровный,                                             все документы,                                             удобный въезд",,,,,,,,,,,,
706,"Бишкек, Городок энергетиков, Салиева/Ауэзова",$ 550 000,от собственника,21 соток,"свет,                                             газ,                                             вода,                                             канализация",,,,42.8792,74.6921,вдоль трассы,,,,,,,,,,,,,
707,"с. Даркан, Апыш Турдубаев 41/Дуйшомбу мазымканова",$ 25 000,от собственника,25 соток,,,,обмен не предлагать,42.3052,77.894,,,,,,,,,,,,,,
708,"ж/м Биримдик Кут, Биримдик кут",$ 110 000,от собственника,150 соток,,,,,42.9198,74.6895,вдоль трассы,,,,,,,,,,,,,
709,"Бишкек, Эне-Сай ж/м, Алма-Атинская",$ 85 000,от агента,8 соток,"свет,                                             вода,                                             телефон","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.9372,74.6402,вдоль трассы,"удобно под коммерцию,                                             дом,                                             удобный въезд",нет,,,,,,,,,,,
710,с. Кызыл-Октябрь,$ 140 000,от собственника,100 соток,"свет,                                             вода",красная книга,есть,с доплатой покупателя,42.7692,75.7125,,"сад,                                             огорожен,                                             дом,                                             времянка,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
711,"с. Аламудун, Набережная/Алматинка",$ 130 000,от собственника,12.5 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.9167,74.6274,,"огорожен,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
712,"Ош, г ош 218квартал",$ 600 000,от собственника,40 соток,"свет,                                             интернет,                                             вода,                                             телефон,                                             канализация,                                             отопление","договор дарения,                                             красная книга,                                             технический паспорт",,,40.5165,72.7008,вдоль трассы,"дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             удобно под коммерцию,                                             госакт,                                             огорожен,                                             сад,                                             хозпостройки,                                             все документы",есть,,,,,,,,,,,
713,"Ош, 218квартал",$ 18 000,от собственника,5 соток,"свет,                                             вода,                                             телефон,                                             интернет","красная книга,                                             договор купли-продажи",,,40.5172,72.6992,в пригороде,"огорожен,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
714,"с. Чок-Тал, Чок-тал",$ 22 500,от собственника,15 соток,,,,,42.5858,76.7538,,,,,,,,,,,,,,
715,"с. Джал, Нияз-Ата 34",$ 60 000,от собственника,11 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.7911,74.5102,в пригороде,,нет,,,,,,,,,,,
716,"Бишкек, с. Чон-Арык, Кожобергенова 235 235а, 235б/50 лет победы",$ 500 000,от собственника,12 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга,                                             зеленая книга,                                             акт ввода в эксплуатацию",,рассмотрю варианты,42.8013,74.5718,в пригороде,"удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
717,"с. Беш-Кунгей, Чокомбаева Абакира",$ 96 000,от собственника,6 соток,,,,,42.7923,74.6526,,,,,,,,,,,,,,
718,"с. Беш-Кунгей, Чыныбаева  Сагалы",$ 75 000,от собственника,6 соток,"газ,                                             интернет,                                             вода,                                             канализация",,,,42.789,74.6537,,,,,,,,,,,,,,
719,"Бишкек, БГУ, Сухомлинова 29/2-ая линия",$ 140 000,от собственника,3.6 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор дарения,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8471,74.5823,в городе,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
720,"с. Каджи-Сай, А-363 1/Ачикеева",$ 15 000,от собственника,4 соток,интернет,,,обмен не предлагать,42.1619,77.163,,все документы,есть,,,,,,,,,,,
721,"Бишкек, Кызыл-Аскер ж/м, Мессароша",$ 42 000,от собственника,5 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.8718,74.5355,в городе,"госакт,                                             ровный,                                             все документы",нет,,,,,,,,,,,
722,"Бишкек, Джальская больница, Сухомлинова / Островского",$ 100 000,от собственника,3 соток,,,,,42.8468,74.5747,,,,,,,,,,,,,,
723,"Бишкек, Мед. академия, советская",$ 351 000,от агента,4 соток,,,,,42.8449,74.6087,,,,,,,,,,,,,,
724,с. Кок-Джар,$ 22 000,от собственника,5 соток,,,,,42.8089,74.6589,,,,,,,,,,,,,,
725,Бишкек,$ 460 000,от агента,18 соток,"свет,                                             вода,                                             канализация",,есть,рассмотрю варианты,42.8632,74.6216,,"огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
726,"с. Таш-Добо, Бегельдинова 11",$ 44 000,от собственника,7 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация","красная книга,                                             договор купли-продажи",,рассмотрю варианты,42.7216,74.5727,,"все документы,                                             огорожен,                                             дом",,,,,,,,,,,,
727,"Бишкек, Киргизия 1 ж/м, Мостовая/Самойленко",$ 575 000,от собственника,23 соток,,красная книга,,,42.8163,74.5812,в городе,,,,,,,,,,,,,
728,"Бишкек, Душанбинка",$ 45 000,от собственника,5 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",зеленая книга,,рассмотрю варианты,42.8518,74.5925,в городе,,,,,,,,,,,,,
729,"с. Джал, 60-лет СССР 37",$ 27 000,от собственника,6 соток,"свет,                                             интернет,                                             вода,                                             канализация",красная книга,,рассмотрю варианты,42.7882,74.5205,,"ровный,                                             все документы",,,,,,,,,,,,
730,с. Горная Маевка,$ 36 000,от собственника,8 соток,вода,красная книга,,,42.6989,74.7452,в предгорьях,дом,,,,,,,,,,,,
731,"с. Каджи-Сай, Чап",$ 110 000,от собственника,200 соток,"свет,                                             вода",красная книга,есть,рассмотрю варианты,42.1563,77.1393,вдоль трассы,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
732,с. Корумду (Иссык-Кульский р-н),$ 315 000,от собственника,30 соток,,,,,42.6882,77.3487,,,,,,,,,,,,,,
733,с. Милянфан,$ 110 000,от собственника,35 соток,свет,"договор купли-продажи,                                             красная книга",,,42.9649,74.81,вдоль трассы,"все документы,                                             удобный въезд,                                             удобно под коммерцию",,,,,,,,,,,,
734,с. Бактуу-Долоноту,$ 10 000,от собственника,6 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен на авто,42.6525,77.1373,вдоль трассы,,,,,,,,,,,,,
735,с. Котовское,$ 50 000,от собственника,1000 соток,"свет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.9157,74.8583,возле водоема,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы,                                             возможна аренда",есть,,,,,,,,,,,
736,"с. Ленинское, Восточная 295/Маслопромский",$ 40 000,от собственника,16 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон",,,обмен не предлагать,42.9806,74.6761,,"сад,                                             огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
737,"с. Сосновка, Первомайская 213",$ 50 000,от собственника,29 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,,42.6796,73.8966,вдоль трассы,"хозпостройки,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
738,"Бишкек, Кок-Жар ж/м",$ 80 000,от агента,9 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.8361,74.6389,вдоль трассы,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
739,"Бишкек, АУЦА",$ 115 000,от агента,4.8 соток,"свет,                                             вода",красная книга,нет,рассмотрю варианты,42.8046,74.6292,в предгорьях,"ровный,                                             удобный въезд",нет,,,,,,,,,,,
740,"Бишкек, Рухий Мурас ж/м, Рухий Мурас 2",$ 40 000,от собственника,4 соток,,,,,42.8543,74.7045,,,,,,,,,,,,,,
741,с. Прохладное,$ 28 500,от собственника,7 соток,"свет,                                             интернет,                                             вода,                                             телефон","договор купли-продажи,                                             красная книга",,обмен на авто,42.7225,74.6723,,все документы,,,,,,,,,,,,
742,с. Прохладное,$ 25 000,от собственника,8 соток,,,,,42.7218,74.6727,,,,,,,,,,,,,,
743,"Бишкек, Дворец спорта, Абдымомунова 243/Исанова",$ 160 000,от собственника,4 соток,"свет,                                             газ,                                             вода,                                             канализация",технический паспорт,,,42.8803,74.5928,,,,,,,,,,,,,,
744,"с. Беш-Кунгей, Беш Кунгей улица Таранчиева 80",$ 46 500,от собственника,10 соток,,красная книга,,,42.7798,74.654,в городе,,,,,,,,,,,,,
745,"с. Военно-Антоновка, Военно антоновка Вос тарапта.",$ 12 500,от собственника,4 соток,,,нет,обмен на авто,42.8554,74.4536,,,нет,,,,,,,,,,,
746,с. Шалта,$ 75 000,от агента,23 соток,"свет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.7941,74.4845,в дачном массиве,"фундамент,                                             сад,                                             хозпостройки,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
747,"с. Кара-Ой, кара ой 312/кара ой",$ 2 488,от собственника,2.2 соток,,"красная книга,                                             договор купли-продажи",есть,с доплатой покупателя,42.6309,76.9947,в городе,,есть,,,,,,,,,,,
748,Лебединовка,$ 5 000,от собственника,100 соток,,зеленая книга,,,42.8848,74.6756,,,,,,,,,,,,,,
749,"Бишкек, Кудайберген, Троицкая/П Лумумбы",$ 78 000,от собственника,4 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация",договор купли-продажи,,рассмотрю варианты,42.8804,74.5255,в городе,"сад,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
750,"с. Луч, Садовая 40",$ 14 000,от собственника,6.75 соток,"вода,                                             свет",красная книга,нет,рассмотрю варианты,42.9171,74.4572,в дачном массиве,,нет,,,,,,,,,,,
